Column1,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
1,Alabama,14,5,19,24,7,3,10,14,1
2,South Carolina,13,14,14,28,5,12,17,11,0.85
3,LSU,13,6,12,18,4,4,8,10,0.77
4,Georgia,15,8,12,20,7,9,16,4,0.27
5,Texas A&M,13,12,10,22,7,12,19,3,0.23
5,Kentucky,13,7,11,18,8,7,15,3,0.23
7,Auburn,14,13,6,19,14,6,20,-1,-0.07
8,Mississippi State,13,8,13,21,8,14,22,-1,-0.08
8,Arkansas,12,9,8,17,9,9,18,-1,-0.08
10,Tennessee,12,10,5,15,8,10,18,-3,-0.25
11,Florida,11,3,14,17,10,10,20,-3,-0.27
12,Mississippi,12,5,8,13,5,13,18,-5,-0.42
12,Vanderbilt,12,2,7,9,4,10,14,-5,-0.42
14,Missouri,13,5,12,17,11,14,25,-8,-0.62
